naslov	opis
Potopljeni svet (1995)	In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw "smokers," and reluctantly helps a woman and a young girl try to find dry land.
White Man's Burden (1995)	The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate ... See full summary »

Farinelli (1994)	Farinelli, is the artistic name of Carlo Broschi, a young singer in Handel's time. He was castrated in his childhood in order to preserve his voice. During his life he becomes to be a very ... See full summary »
Nebeska bitja (1994)	Two girls have an intense fantasy life; their parents, concerned the fantasy is too intense, separate them, and the girls take revenge.
Intervju z vampirjem (1994)	A vampire tells his epic life story: love, betrayal, loneliness, and hunger.
A Kid in King Arthur's Court (1995)	Young Calvin Fuller is pulled into King Arthur's court by Merlin. His mission: to save Camelot. To do this he must overcome the villain known as Lord Belascoe, train to become a knight, and... See full summary »
Frankenstein (1994)	When Victor Frankenstein rejects the artificial man he just created, the monster escapes and later swears revenge.
Hitri in mrtvi (1995)	Lady avenger returns to western town owned by a ruthless gunslinger hosting an elimination tournament.
The Langoliers (1995)	Most of the passengers on an airplane disappear, and the remainder land the plane in a mysteriously barren airport.
Tales from the Hood (1995)	A strange funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business.
Village of the Damned (1995)	A small town's women give birth to unfriendly alien children posing as humans.
Neposredna nevarnost (1994)	CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
New Nightmare (1994)	A demonic force has chosen Freddy Krueger as its portal to the real world. Can Heather play the part of Nancy one last time and trap the evil trying to enter our world?
Hitrost (1994)	A young cop must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.
Volk (1994)	Publisher Will Randall becomes a werewolf and has to fight to keep his job.
Wyatt Earp (1994)	Wyatt Earp is a movie about a man and his family. The movie shows us the good times and the bad times of one of the West's most famous individuals.
Policijska zaseda 2 (1993)	Prankster cops Chris and Bill are joined by a Gina from the DA's office to stakeout a lakeside home.
Pis (1994)	An Irish bomber escapes from prison and targets a member of the Boston bomb squad.
Tatovi teles (1993)	A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.
Helena iz skatljice (1993)	A surgeon becomes obsessed with the seductive woman he once had an affair with. Refusing to accept that she has moved on, he amputates her limbs and holds her captive in his mansion.
City Slickers II: The Legend of Curly's Gold (1994)	Shortly after their first western adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and set out to discover its secrets.
Plezalec (1993)	A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
Coneheads (1993)	Aliens with conical crania come to Earth to observe human life.
Unicevalec (1993)	A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.
Fatal Instinct (1993)	A spoof of the late 80s and early 90s suspense thrillers and murder mysteries, including Basic Instinct, Sleeping With The Enemy, Cape Fear and others. A cop/attorney (yes he's both) is ... See full summary »
Anglez, ki je sel na hrib in se vrnil z gore (1995)	When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that.
Kalifornia (1993)	A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.
Klavir (1993)	A mute woman along with her young daughter, and her prized piano, are sent to 1850s New Zealand for an arranged marriage to a wealthy landowner, and she's soon lusted after by a local worker on the plantation.
Kri na soncu (1993)	Detective Jack Grimaldi (Gary Oldman) takes us through his shattered life after encountering the most deadly (and deceptive) criminal he has ever had to deal with. It doesn't help that ... See full summary »
Carobni vrt (1993)	A young British girl born and raised in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's estate. Her uncle is very distant due to the ... See full summary »
Son in Law (1993)	Having gotten a taste of college life, a drastically changed farm girl returns home for Thanksgiving break with her best friend, a flamboyant party animal who is clearly a fish out of water in a small farm town.
Terminal Velocity (1994)	A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.
After Hours Revisits Teens, Leftovers and Pigs Feet! (25 Nov. 2014)	Add a Plot
Beauty and the Beast (2012– )	A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.
Divja banda (1969)	An aging group of outlaws look for one last big score as the "traditional" American West is disappearing around them.
Hellraiser: Bloodline (1996)	In the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of Hell and unleashes Pinhead and his Cenobite legions.
Primal Fear (1996)	An altar boy is accused of murdering a priest, and the truth is buried several layers deep.
Pravi zlocin (1999)	Can an over-the-hill journalist uncover the evidence that can prove a death row inmate's innocence just hours before his execution?
Sovraznik pred vrati (2001)	A Russian sniper and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.
Heavy (1995)	The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at he and his mother's road-side restaurant.
Kingsman: Tajna sluzba (2014)	A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.
Notredamski zvonar (1996)	A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.
